status,project,additional,timePlayed
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:40:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:14:38Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:15:57Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:17:52Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:19:17Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:28:23Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:28:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:29:33Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:29:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:50:08Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:51:23Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T15:54:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T16:20:44Z
TERMOS_ABANDONADO,66f479e271aa00601b17fe4f,,2025-04-02T16:42:22Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T16:43:59Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T16:44:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T16:49:24Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T16:55:46Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:07:06Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:09:22Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:10:56Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:12:12Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:13:52Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:15:11Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:17:01Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:17:08Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:18:47Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:22:04Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:31:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:33:34Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:35:40Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:35:46Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:42:41Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:44:10Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:46:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T17:51:11Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:00:28Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:01:58Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:02:11Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:09:55Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:26:14Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:28:41Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:31:00Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:34:17Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:35:18Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:39:24Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:42:30Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:45:31Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:48:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:51:03Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:52:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:52:43Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T18:53:57Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:02:34Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:11:24Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T19:13:17Z
